temperature_(degC),composition_(wt%),tail_length_calculated_(A),tail_volume_calculated_(A^3),head_area_calculated_(A^2),AL/V_calculated,observed_phase
25,0,11.19,243.2,44.3,2.04,L1
25,0.05,11.19,243.2,44.3,2.04,L1
25,0.1,11.19,243.2,44.3,2.04,L1
25,0.15,11.19,243.2,44.3,2.04,L1
25,0.2,11.19,243.2,44.3,2.04,L1
25,0.25,11.19,243.2,44.3,2.04,L1
25,0.3,11.19,243.2,44.3,2.04,L1
25,0.35,11.19,243.2,44.3,2.04,L1
25,0.4,11.19,243.2,44.3,2.04,L1
25,0.45,11.19,243.2,44.3,2.04,L1
25,0.5,11.19,243.2,44.3,2.04,L1
25,0.55,11.19,243.2,44.3,2.04,L2
25,0.6,11.19,243.2,44.3,2.04,L2
25,0.65,11.19,243.2,44.3,2.04,L2
25,0.7,11.19,243.2,44.3,2.04,L2
25,0.75,11.19,243.2,44.3,2.04,L2
25,0.8,11.19,243.2,44.3,2.04,L2
25,0.85,11.19,243.2,44.3,2.04,L2
25,0.9,11.19,243.2,44.3,2.04,L2
25,0.95,11.19,243.2,44.3,2.04,L2
25,1,11.19,243.2,44.3,2.04,L2
30,0,11.19,243.2,44.3,2.04,L1
30,0.05,11.19,243.2,44.3,2.04,L1
30,0.1,11.19,243.2,44.3,2.04,L1
30,0.15,11.19,243.2,44.3,2.04,L1
30,0.2,11.19,243.2,44.3,2.04,L1
30,0.25,11.19,243.2,44.3,2.04,L1
30,0.3,11.19,243.2,44.3,2.04,L1
30,0.35,11.19,243.2,44.3,2.04,L1
30,0.4,11.19,243.2,44.3,2.04,L1
30,0.45,11.19,243.2,44.3,2.04,L1
30,0.5,11.19,243.2,44.3,2.04,L1
30,0.55,11.19,243.2,44.3,2.04,L2
30,0.6,11.19,243.2,44.3,2.04,L2
30,0.65,11.19,243.2,44.3,2.04,L2
30,0.7,11.19,243.2,44.3,2.04,L2
30,0.75,11.19,243.2,44.3,2.04,L2
30,0.8,11.19,243.2,44.3,2.04,L2
30,0.85,11.19,243.2,44.3,2.04,L2
30,0.9,11.19,243.2,44.3,2.04,L2
30,0.95,11.19,243.2,44.3,2.04,L2
30,1,11.19,243.2,44.3,2.04,L2
35,0,11.19,243.2,44.3,2.04,L1
35,0.05,11.19,243.2,44.3,2.04,L1
35,0.1,11.19,243.2,44.3,2.04,L1
35,0.15,11.19,243.2,44.3,2.04,L1
35,0.2,11.19,243.2,44.3,2.04,L1
35,0.25,11.19,243.2,44.3,2.04,L1
35,0.3,11.19,243.2,44.3,2.04,L1
35,0.35,11.19,243.2,44.3,2.04,L1
35,0.4,11.19,243.2,44.3,2.04,L1
35,0.45,11.19,243.2,44.3,2.04,L1
35,0.5,11.19,243.2,44.3,2.04,L1
35,0.55,11.19,243.2,44.3,2.04,L2
35,0.6,11.19,243.2,44.3,2.04,L2
35,0.65,11.19,243.2,44.3,2.04,L2
35,0.7,11.19,243.2,44.3,2.04,L2
35,0.75,11.19,243.2,44.3,2.04,L2
35,0.8,11.19,243.2,44.3,2.04,L2
35,0.85,11.19,243.2,44.3,2.04,L2
35,0.9,11.19,243.2,44.3,2.04,L2
35,0.95,11.19,243.2,44.3,2.04,L2
35,1,11.19,243.2,44.3,2.04,L2
40,0,11.19,243.2,44.3,2.04,L1
40,0.05,11.19,243.2,44.3,2.04,L1
40,0.1,11.19,243.2,44.3,2.04,L1
40,0.15,11.19,243.2,44.3,2.04,L1
40,0.2,11.19,243.2,44.3,2.04,L1
40,0.25,11.19,243.2,44.3,2.04,L1
40,0.3,11.19,243.2,44.3,2.04,L1
40,0.35,11.19,243.2,44.3,2.04,L1
40,0.4,11.19,243.2,44.3,2.04,L1
40,0.45,11.19,243.2,44.3,2.04,L1
40,0.5,11.19,243.2,44.3,2.04,L1
